tea_id,country,region,Na,K,Ca,Mg,Cu,Zn,Mn,Fe
JO,Japan,Organic,49.11,11158.11,842.56,877.12,5.3,24.42,443.46,26.91
JS,Japan,Shizuoka,18.74,10577.44,503.44,821.64,8.94,21.94,302.52,32.92
NI1,Nepal,Ilam,53.24,15323.11,1150.33,1068.08,12.46,35.81,395.22,94.94
NI2,Nepal,Ilam,21.31,12195.33,994.2,1041.76,11.97,25.73,224.11,36.08
NI3,Nepal,Ilam,27.42,11199.44,838.77,842.08,11.1,25.28,359.41,79.42
NI4,Nepal,Ilam,53.44,12752.67,1532.0,1022.39,11.78,22.42,301.14,103.86
K1,Kenya,Marinyn,30.14,12192.78,857.28,996.16,22.08,23.38,824.72,99.52
K2,Kenya,Mount Kenya,45.19,10969.11,1556.11,932.21,12.57,20.31,459.44,64.39
Ir,Iran,Lahijan,41.2,8344.56,1417.33,1017.43,23.87,24.1,730.14,179.53
SLC,Sri Lanka,Central,109.72,10222.33,1478.56,1097.82,21.57,23.51,285.81,131.06
SLU,Sri Lanka,Uva,50.57,13794.22,1856.11,1229.56,12.26,27.64,453.46,37.93
SLR,Sri Lanka,Ruhuna,29.97,11289.67,1380.33,997.88,10.91,12.54,224.78,28.97
BChI,Blend,China/India,44.83,10576.78,1027.32,901.47,16.56,31.08,525.49,80.86
CHY1,China,Yunnan,14.47,12705.11,1232.67,905.68,12.39,31.19,846.29,61.27
CHY2,China,Yunnan,54.0,11693.56,1518.78,1040.59,10.11,22.11,465.11,109.81
CHY3,China,Yunnan,11.24,11905.33,1115.0,951.72,10.08,21.73,513.97,29.24
CHF,China,Fujian,113.97,9635.33,1588.0,990.81,13.67,22.98,711.44,108.82
IA1,India,Assam,19.22,12805.33,1602.67,1233.44,19.48,23.61,202.77,33.56
IA2,India,Assam,17.87,12146.67,1465.0,1035.66,15.34,35.03,434.61,42.42
ID,India,Darjeeling,49.0,11498.67,1482.67,961.62,14.88,27.48,250.64,34.32
